,SHOT
16053,1000928008
16054,1000928009
16055,1000928010
16056,1000928011
16057,1000928012
16058,1000928013
16059,1000928014
16060,1000928015
16061,1000928016
16062,1000928017
16063,1000928018
16064,1000928019
16065,1000928020
16066,1000928021
16067,1000928022
16068,1000928023
16069,1000928024
16070,1000928025
16071,1000928026
16072,1000928027
16073,1000928028
16074,1000928029
16075,1000929001
16078,1000929004
16079,1000929005
16080,1000929006
16081,1000929007
16082,1000929008
16083,1000929009
16084,1000929010
16085,1000929011
16086,1000929012
16087,1000929013
16088,1000929014
16092,1000929018
16093,1000929019
16106,1001003006
16107,1001003007
16108,1001003008
16109,1001003009
16124,1001006001
16125,1001006002
16126,1001006003
16128,1001006005
16129,1001006006
16130,1001006007
16131,1001006008
16132,1001006009
16133,1001006010
16134,1001006011
16136,1001006013
16137,1001006014
16138,1001006015
16139,1001006016
16140,1001006017
16141,1001006018
16142,1001006019
16143,1001011001
16144,1001011002
16145,1001011003
16147,1001011005
16148,1001011006
16149,1001011007
16150,1001011008
16151,1001011009
16152,1001011010
16153,1001011011
16154,1001011012
16155,1001011013
16156,1001011014
16157,1001011015
16158,1001011016
16159,1001011017
16160,1001011018
16161,1001011019
16162,1001011020
16163,1001011021
16164,1001012001
16165,1001012002
16166,1001012003
16167,1001012004
16168,1001012005
16169,1001012006
16170,1001012007
16171,1001012008
16172,1001012009
16173,1001012010
16174,1001012011
16175,1001012012
16176,1001012013
16177,1001012014
16178,1001012015
16179,1001012016
16180,1001012017
16181,1001012018
16182,1001012019
16183,1001012020
16184,1001012021
16185,1001012022
16186,1001013001
16187,1001013002
16188,1001013003
16189,1001013004
16192,1001013007
16194,1001013009
16195,1001013010
16196,1001013011
16197,1001013012
16198,1001013013
16199,1001013014
16200,1001013015
16201,1001013016
16203,1001018002
16204,1001018003
16205,1001018004
16206,1001018005
16207,1001018006
16208,1001018007
16209,1001018008
16210,1001018009
16211,1001018010
16212,1001018011
16213,1001018012
16214,1001018013
16215,1001018014
16216,1001018015
16217,1001018016
16218,1001018017
16219,1001018018
16220,1001018019
16221,1001018020
16222,1001018021
16223,1001018022
16224,1001019001
16225,1001019002
16226,1001019003
16227,1001019004
16228,1001019005
16229,1001019006
16230,1001019007
16231,1001019008
16232,1001019009
16233,1001019010
16234,1001019011
16235,1001019012
16236,1001019013
16237,1001019014
16238,1001019015
16239,1001019016
16240,1001019017
16241,1001019018
16242,1001019019
16243,1001019020
16244,1001019021
16245,1001019022
16246,1001019023
16247,1001019024
16249,1001020002
16250,1001020003
16251,1001020004
16252,1001020005
16253,1001020006
16254,1001020007
16255,1001020008
16256,1001020009
16257,1001020010
16258,1001020011
16259,1001020012
16260,1001020013
16261,1001020014
16262,1001020015
16263,1001020016
16264,1001020017
16265,1001020018
16266,1001020019
16293,1001101022
16294,1001101023
16295,1001101024
16296,1001101025
16297,1001101026
16298,1001101027
16299,1001101028
16300,1001101029
16301,1001101030
16302,1001101031
16303,1001101032
16304,1001101033
16305,1001101034
16306,1001102001
16307,1001102002
16308,1001102003
16309,1001102004
16310,1001102005
16311,1001102006
16312,1001102007
16313,1001102008
16314,1001102009
16315,1001102010
16316,1001102011
16317,1001102012
16318,1001102013
16319,1001102014
16320,1001102015
16321,1001102016
16322,1001102017
16323,1001102018
16324,1001102019
16325,1001102020
16326,1001102021
16327,1001103001
16328,1001103002
16329,1001103003
16330,1001103004
16331,1001103005
16332,1001103006
16333,1001103007
16334,1001103008
16335,1001103009
16336,1001103010
16337,1001103011
16338,1001103012
16339,1001103013
16340,1001103014
16341,1001103015
16342,1001103016
16343,1001103017
16344,1001103018
16345,1001103019
16346,1001103020
16347,1001103021
16348,1001103022
16349,1001103023
16350,1001106001
16351,1001106002
16352,1001106003
16353,1001106004
16354,1001106005
16355,1001106006
16356,1001106007
16357,1001106008
16358,1001106009
16359,1001106010
16360,1001106011
16361,1001106012
16362,1001106013
16363,1001106014
16364,1001106015
16365,1001106016
16366,1001106017
16367,1001106018
16368,1001106019
16369,1001106020
16370,1001106021
16371,1001106022
16372,1001106023
16373,1001106024
16374,1001107001
16375,1001107002
16376,1001107003
16377,1001107004
16378,1001107005
16379,1001107006
16380,1001107007
16381,1001107008
16382,1001107009
16383,1001107010
16384,1001107011
16385,1001107012
16386,1001107013
16387,1001107014
16389,1001107016
16392,1001107020
16393,1001107021
16396,1001109003
16397,1001109004
16398,1001109005
16399,1001109006
16400,1001109007
16401,1001109008
16402,1001109009
16403,1001109010
16404,1001109011
16405,1001109012
16406,1001109013
16407,1001109014
16408,1001109015
16409,1001109016
16410,1001109017
16411,1001109018
16412,1001109019
16413,1001109020
16414,1001109021
16415,1001109022
16416,1001114001
16417,1001114003
16422,1001115002
16423,1001115003
16424,1001115004
16425,1001115005
16426,1001115006
16427,1001115007
16428,1001115008
16429,1001115009
16430,1001115010
16431,1001115011
16432,1001115012
16433,1001115013
16434,1001115014
16435,1001115015
16436,1001115016
16437,1001115017
16440,1001115020
16441,1001116001
16442,1001116002
16444,1001116004
